,country,code,year,death_rate,diagnosed,diagnosed_rate
0,Afghanistan,AFG,2018,8.65,0.07859793,78.6
1,Albania,ALB,2018,6.51,0.2032064,203.21
2,Algeria,DZA,2018,7.56,0.15772666,157.73
3,American Samoa,ASM,2018,16.83,0.22987503,229.88
4,Andorra,AND,2018,9.07,0.44712833,447.13
5,Angola,AGO,2018,11.29,0.09259398,92.59
6,Antigua and Barbuda,ATG,2018,16.67,0.34655198,346.55
7,Argentina,ARG,2018,15.93,0.3171384,317.14
8,Armenia,ARM,2018,13.84,0.32590097,325.9
9,Australia,AUS,2018,9.18,0.46796036,467.96
10,Austria,AUT,2018,9.89,0.40332353,403.32
11,Azerbaijan,AZE,2018,9.9,0.17957918,179.58
12,Bahamas,BHS,2018,20.14,0.4134213,413.42
13,Bahrain,BHR,2018,10.69,0.22407654,224.08
14,Bangladesh,BGD,2018,7.12,0.095124885,95.12
15,Barbados,BRB,2018,20.17,0.45743203,457.43
16,Belarus,BLR,2018,8.37,0.27151263,271.51
17,Belgium,BEL,2018,12.73,0.54004186,540.04
18,Belize,BLZ,2018,6.19,0.11145621,111.46
19,Benin,BEN,2018,8.53,0.07516438,75.16
20,Bermuda,BMU,2018,11.12,0.39028648,390.29
21,Bhutan,BTN,2018,5.92,0.07792848,77.93
22,Bolivia,BOL,2018,10.06,0.1295419,129.54
23,Bosnia and Herzegovina,BIH,2018,11.74,0.2701223,270.12
24,Botswana,BWA,2018,17.4,0.19976027,199.76
25,Brazil,BRA,2018,8.55,0.18110327,181.1
26,Brunei,BRN,2018,12.54,0.34225142,342.25
27,Bulgaria,BGR,2018,13.05,0.38981244,389.81
28,Burkina Faso,BFA,2018,11.51,0.09595162,95.95
29,Burundi,BDI,2018,9.2,0.07120967,71.21
30,Cambodia,KHM,2018,8.03,0.10131559,101.32
31,Cameroon,CMR,2018,11.63,0.104606025,104.61
32,Canada,CAN,2018,9.77,0.49933758,499.34
33,Cape Verde,CPV,2018,8.77,0.11445478,114.45
