,country,year,deaths,code,diagnosed
28,Afghanistan,2018,1265,AFG,0.0786
58,Albania,2018,254,ALB,0.2032
88,Algeria,2018,2563,DZA,0.1577
118,American Samoa,2018,8,ASM,0.2299
148,Andorra,2018,13,AND,0.4471
178,Angola,2018,1267,AGO,0.0926
208,Antigua and Barbuda,2018,16,ATG,0.3466
238,Argentina,2018,8372,ARG,0.3171
268,Armenia,2018,555,ARM,0.3259
298,Australia,2018,3638,AUS,0.468
328,Austria,2018,1760,AUT,0.4033
358,Azerbaijan,2018,970,AZE,0.1796
388,Bahamas,2018,78,BHS,0.4134
418,Bahrain,2018,98,BHR,0.2241
448,Bangladesh,2018,9442,BGD,0.0951
478,Barbados,2018,94,BRB,0.4574
508,Belarus,2018,1282,BLR,0.2715
538,Belgium,2018,2894,BEL,0.54
568,Belize,2018,18,BLZ,0.1115
598,Benin,2018,422,BEN,0.0752
628,Bermuda,2018,14,BMU,0.3903
658,Bhutan,2018,34,BTN,0.0779
688,Bolivia,2018,874,BOL,0.1295
718,Bosnia and Herzegovina,2018,666,BIH,0.2701
748,Botswana,2018,229,BWA,0.1998
778,Brazil,2018,19797,BRA,0.1811
808,Brunei,2018,42,BRN,0.3423
838,Bulgaria,2018,1734,BGR,0.3898
868,Burkina Faso,2018,1054,BFA,0.096
898,Burundi,2018,419,BDI,0.0712
928,Cambodia,2018,993,KHM,0.1013
958,Cameroon,2018,1406,CMR,0.1046
988,Canada,2018,6430,CAN,0.4993
1018,Cape Verde,2018,38,CPV,0.1145
1048,Central African Republic,2018,260,CAF,0.0787
1078,Chad,2018,393,TCD,0.054
1108,Chile,2018,1793,CHL,0.2057
1138,China,2018,93224,CHN,0.1662
1168,Colombia,2018,3356,COL,0.1842
1198,Comoros,2018,55,COM,0.0985
1228,Congo,2018,424,COG,0.132
1258,Cook Islands,2018,5,COK,0.3967
1288,Costa Rica,2018,430,CRI,0.2531
1318,Cote d'Ivoire,2018,878,CIV,0.0675
1348,Croatia,2018,1008,HRV,0.3572
1378,Cuba,2018,1804,CUB,0.2718
1408,Cyprus,2018,216,CYP,0.5601
1438,Czechia,2018,1901,CZE,0.3146
1468,Democratic Republic of Congo,2018,4496,COD,0.0964
1498,Denmark,2018,1389,DNK,0.4685
1528,Djibouti,2018,61,DJI,0.0891
1558,Dominica,2018,14,DMA,0.2578
1588,Dominican Republic,2018,800,DOM,0.1543
1618,East Timor,2018,66,TLS,0.0896
1648,Ecuador,2018,1016,ECU,0.1296
1678,Egypt,2018,4614,EGY,0.12
1708,El Salvador,2018,363,SLV,0.1416
1738,Equatorial Guinea,2018,74,GNQ,0.1446
1768,Eritrea,2018,368,ERI,0.1038
1798,Estonia,2018,262,EST,0.3657
1828,Eswatini,2018,78,SWZ,0.1264
1858,Ethiopia,2018,3923,ETH,0.0799
1888,Fiji,2018,144,FJI,0.2267
1918,Finland,2018,1041,FIN,0.493
1948,France,2018,15094,FRA,0.5134
1978,Gabon,2018,156,GAB,0.1476
2008,Gambia,2018,63,GMB,0.0599
2038,Georgia,2018,918,GEO,0.3399
2068,Germany,2018,21554,DEU,0.4734
2098,Ghana,2018,2784,GHA,0.1704
2128,Greece,2018,2772,GRC,0.4805
2158,Greenland,2018,7,GRL,0.219
2188,Grenada,2018,18,GRD,0.2913
2218,Guam,2018,16,GUM,0.1676
2248,Guatemala,2018,647,GTM,0.0947
2278,Guinea,2018,566,GIN,0.0819
2308,Guinea-Bissau,2018,97,GNB,0.1035
2338,Guyana,2018,87,GUY,0.1996
2368,Haiti,2018,1175,HTI,0.1566
2398,Honduras,2018,427,HND,0.1077
2428,Hungary,2018,2250,HUN,0.3482
2458,Iceland,2018,42,ISL,0.4074
2488,India,2018,80534,IND,0.0875
2518,Indonesia,2018,25943,IDN,0.1608
2548,Iran,2018,4604,IRN,0.1534
2578,Iraq,2018,2895,IRQ,0.2208
2608,Ireland,2018,797,IRL,0.5334
